instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.079482,0.146906,0.001325,0.001045
1,0.081175,0.146349,0.001413,0.001006
2,0.075286,0.146846,0.001211,0.000966
3,0.090423,0.147933,0.001363,0.000992
4,0.074176,0.145171,0.001287,0.000909
5,0.101794,0.147649,0.001276,0.001139
6,0.076124,0.147241,0.001337,0.000950
7,0.107319,0.146965,0.001333,0.001186
8,0.078467,0.146986,0.001175,0.001011
9,0.101272,0.143427,0.001268,0.001104
10,0.075479,0.143853,0.001155,0.000901
11,0.095833,0.143285,0.001395,0.001124
12,0.074637,0.145929,0.001361,0.001009
13,0.098429,0.149523,0.001548,0.001307
14,0.078974,0.148060,0.001258,0.000993
15,0.096345,0.150519,0.001306,0.000963
16,0.079959,0.148477,0.001340,0.000974
17,0.076765,0.149940,0.001324,0.001130
18,0.080933,0.149552,0.001327,0.000939
19,0.076317,0.149324,0.001426,0.000969
20,0.077067,0.147156,0.001443,0.000898
21,0.074432,0.145018,0.001403,0.001003
22,0.089104,0.152234,0.001328,0.001094
23,0.079403,0.150235,0.001385,0.000997
24,0.104443,0.147055,0.001569,0.001168
25,0.078505,0.149144,0.001402,0.001014
26,0.106724,0.147596,0.001493,0.001239
27,0.073282,0.144576,0.001199,0.000934
28,0.100783,0.144143,0.001365,0.001102
29,0.077486,0.143746,0.001156,0.000902
30,0.093513,0.144533,0.001295,0.001070
31,0.076987,0.144162,0.001203,0.001082
32,0.093205,0.144750,0.001297,0.001043
33,0.075413,0.147352,0.001397,0.001018
34,0.094054,0.145601,0.001441,0.001148
35,0.074590,0.144592,0.001175,0.001115
36,0.073739,0.144368,0.001344,0.000932
37,0.081787,0.146839,0.001524,0.000968
38,0.078259,0.144893,0.001183,0.001121
39,0.078881,0.145616,0.001227,0.001003
40,0.075594,0.144299,0.001164,0.000949
41,0.088692,0.144211,0.001213,0.001118
42,0.075367,0.145887,0.001323,0.000930
43,0.099447,0.144229,0.001307,0.001073
44,0.073998,0.143291,0.001255,0.000985
45,0.102569,0.142759,0.001251,0.001101
46,0.074385,0.144882,0.001159,0.000906
47,0.097872,0.144484,0.001378,0.001195
48,0.075521,0.144095,0.001330,0.000915
49,0.094656,0.143890,0.001395,0.001074
50,0.078670,0.145389,0.001397,0.001041
51,0.092747,0.144574,0.001337,0.001092
52,0.075241,0.144689,0.001152,0.000926
53,0.094013,0.145584,0.001316,0.000994
54,0.076800,0.146049,0.001262,0.000918
55,0.079566,0.145391,0.001285,0.000946
56,0.078079,0.145049,0.001166,0.000926
57,0.078317,0.143991,0.001188,0.000952
58,0.073914,0.143608,0.001331,0.000904
59,0.076949,0.143889,0.001203,0.000977
60,0.085275,0.143986,0.001191,0.000945
61,0.075614,0.144743,0.001263,0.001002
62,0.097021,0.143453,0.001347,0.001072
63,0.073945,0.145333,0.001376,0.000972
64,0.103645,0.143288,0.001424,0.001088
65,0.074929,0.145435,0.001320,0.000936
66,0.099762,0.143231,0.001224,0.001098
67,0.076677,0.145672,0.001198,0.000924
68,0.096222,0.145221,0.001267,0.001075
69,0.073501,0.143967,0.001212,0.001024
70,0.096446,0.144653,0.001288,0.001032
71,0.076691,0.145056,0.001232,0.000970
72,0.091573,0.142353,0.001308,0.001158
73,0.076490,0.144711,0.001160,0.000910
74,0.076664,0.144373,0.001303,0.000943
75,0.076893,0.144414,0.001300,0.001044
76,0.076338,0.147313,0.001334,0.000997
77,0.076874,0.143595,0.001160,0.000902
78,0.075795,0.144487,0.001156,0.001071
79,0.085626,0.143532,0.001217,0.000983
80,0.076205,0.143775,0.001168,0.000921
81,0.097197,0.143398,0.001493,0.001164
82,0.074150,0.144270,0.001148,0.000898
83,0.103801,0.143936,0.001239,0.001141
84,0.075889,0.143836,0.001146,0.000924
85,0.101191,0.143965,0.001237,0.001107
86,0.075908,0.144803,0.001151,0.000926
87,0.098492,0.144607,0.001312,0.001110
88,0.072170,0.143774,0.001148,0.000901
89,0.092652,0.143981,0.001321,0.001055
90,0.077522,0.144423,0.001213,0.000948
91,0.091448,0.144837,0.001414,0.001042
92,0.074996,0.145708,0.001239,0.000972
93,0.072813,0.142962,0.001639,0.000983
94,0.076718,0.144064,0.001159,0.000935
95,0.076264,0.145185,0.001333,0.001016
96,0.074180,0.144222,0.001460,0.000936
97,0.075854,0.145109,0.001203,0.000982
98,0.086995,0.145865,0.001247,0.000969
99,0.076286,0.144646,0.001300,0.000943
