instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.368243,0.571920,0.002797,0.002153
1,0.391726,0.571002,0.002684,0.002342
2,0.427253,0.570905,0.002763,0.002234
3,0.450025,0.570501,0.002874,0.002448
4,0.454792,0.580624,0.002937,0.002506
5,0.449303,0.572932,0.002727,0.002373
6,0.431691,0.572631,0.002691,0.002633
7,0.416681,0.572730,0.003098,0.002652
8,0.410260,0.573505,0.002790,0.002540
9,0.391336,0.576194,0.002805,0.002586
10,0.385544,0.572908,0.002939,0.002451
11,0.375613,0.573724,0.002820,0.002420
12,0.373627,0.573482,0.003031,0.002118
13,0.375972,0.574109,0.002789,0.002090
14,0.314887,0.576013,0.003200,0.002105
15,0.321878,0.574537,0.002738,0.002064
16,0.319367,0.576822,0.002850,0.002076
17,0.315955,0.573667,0.002916,0.002193
18,0.335178,0.574794,0.002585,0.002229
19,0.370087,0.573182,0.002851,0.002082
20,0.403441,0.573588,0.002655,0.002288
21,0.425552,0.572598,0.002918,0.002223
22,0.451827,0.573581,0.002717,0.002544
23,0.450435,0.572572,0.002714,0.002518
24,0.447780,0.571891,0.003007,0.002552
25,0.440283,0.573018,0.002932,0.002691
26,0.413271,0.573861,0.002969,0.002644
27,0.409041,0.573061,0.003064,0.002441
28,0.393809,0.573203,0.003072,0.002725
29,0.385965,0.572941,0.002978,0.002240
30,0.381472,0.571811,0.003036,0.002162
31,0.380813,0.571978,0.003071,0.002111
32,0.379330,0.572932,0.003341,0.002070
33,0.315953,0.573627,0.003156,0.002084
34,0.317246,0.572222,0.002684,0.002369
35,0.328874,0.577186,0.002847,0.002040
36,0.340660,0.600153,0.003197,0.002525
37,0.354100,0.590305,0.002909,0.002170
38,0.380024,0.580516,0.002735,0.002159
39,0.407695,0.577880,0.002724,0.002184
40,0.436445,0.585000,0.002770,0.002466
41,0.459002,0.578717,0.003149,0.002295
42,0.455656,0.578692,0.002858,0.002552
43,0.453899,0.580484,0.002762,0.002562
44,0.431405,0.578222,0.002926,0.002443
45,0.411705,0.585776,0.002845,0.002571
46,0.408306,0.581012,0.003213,0.002321
47,0.387757,0.577816,0.003110,0.002326
48,0.384678,0.577089,0.003074,0.002318
49,0.389979,0.581679,0.003228,0.002305
50,0.381404,0.581480,0.003733,0.002275
51,0.384830,0.578563,0.002848,0.002343
52,0.338205,0.580507,0.003094,0.002131
53,0.319541,0.577470,0.002810,0.002149
54,0.323477,0.574964,0.002536,0.001965
55,0.333667,0.576279,0.002629,0.002035
56,0.353063,0.577637,0.002704,0.002041
57,0.381771,0.573040,0.002641,0.002424
58,0.411887,0.573418,0.002710,0.002358
59,0.445603,0.573584,0.002850,0.002239
60,0.453229,0.574252,0.002705,0.002508
61,0.460633,0.578798,0.002921,0.002391
62,0.449878,0.575320,0.002999,0.002764
63,0.433069,0.577740,0.002733,0.002462
64,0.414809,0.575249,0.003113,0.002348
65,0.407685,0.581378,0.003060,0.002371
66,0.392692,0.578289,0.002809,0.002233
67,0.385626,0.573778,0.003280,0.002644
68,0.380880,0.574197,0.002902,0.002280
69,0.386702,0.575411,0.002808,0.002393
70,0.383854,0.574117,0.002859,0.002057
71,0.343414,0.574286,0.003017,0.002066
72,0.330266,0.571483,0.002771,0.002306
73,0.323273,0.573238,0.002661,0.002222
74,0.355218,0.576610,0.002739,0.002166
75,0.359157,0.572751,0.002634,0.002162
76,0.394332,0.577074,0.003039,0.002211
77,0.422314,0.574607,0.002725,0.002221
78,0.445455,0.574805,0.003163,0.002233
79,0.453786,0.575041,0.002963,0.002365
80,0.456689,0.573493,0.003046,0.002393
81,0.441796,0.584145,0.003125,0.002874
82,0.432130,0.574028,0.003034,0.002629
83,0.426038,0.575246,0.002934,0.002656
84,0.403642,0.573969,0.002979,0.002286
85,0.387911,0.573572,0.002902,0.002542
86,0.382381,0.583889,0.003211,0.002397
87,0.385573,0.576344,0.003101,0.002104
88,0.385187,0.612344,0.003092,0.002196
89,0.332650,0.594023,0.002943,0.002561
90,0.345778,0.594116,0.003318,0.002438
91,0.318497,0.586412,0.003098,0.002159
92,0.339632,0.583157,0.003446,0.002507
93,0.333316,0.588814,0.003031,0.002463
94,0.370349,0.586659,0.002922,0.002220
95,0.398513,0.596226,0.003057,0.002446
96,0.431130,0.595414,0.003170,0.002225
97,0.451695,0.598211,0.003027,0.002364
98,0.461894,0.597925,0.003718,0.002572
99,0.461948,0.592995,0.003408,0.002519
