instancia,artista,t_lineal,t_binaria
0,Artista_0,0.013631,0.000803
0,Artista_20,0.025045,0.000769
0,Artista_40,0.025567,0.000591
0,Artista_61,0.024931,0.000815
0,Artista_80,0.024762,0.000713
1,Artista_0,0.013978,0.000784
1,Artista_20,0.024892,0.000725
1,Artista_40,0.024663,0.000796
1,Artista_61,0.024597,0.000981
1,Artista_80,0.024643,0.001011
2,Artista_0,0.014382,0.000730
2,Artista_20,0.024884,0.000708
2,Artista_40,0.024539,0.000957
2,Artista_61,0.025235,0.000926
2,Artista_80,0.024588,0.000737
3,Artista_0,0.013228,0.000804
3,Artista_20,0.024853,0.000672
3,Artista_40,0.024363,0.000689
3,Artista_61,0.025021,0.000822
3,Artista_80,0.024679,0.000927
4,Artista_0,0.014172,0.000792
4,Artista_20,0.024575,0.000813
4,Artista_40,0.030791,0.000668
4,Artista_61,0.030201,0.000920
4,Artista_80,0.031040,0.001031
5,Artista_0,0.013835,0.000933
5,Artista_20,0.025136,0.000780
5,Artista_40,0.025371,0.000728
5,Artista_61,0.025397,0.000865
5,Artista_80,0.024880,0.000694
6,Artista_0,0.013740,0.000776
6,Artista_20,0.024814,0.000999
6,Artista_40,0.025163,0.000852
6,Artista_61,0.024706,0.000711
6,Artista_80,0.024405,0.000699
7,Artista_0,0.013717,0.000641
7,Artista_20,0.024407,0.000691
7,Artista_40,0.024664,0.000783
7,Artista_61,0.024381,0.000929
7,Artista_80,0.024153,0.000703
8,Artista_0,0.013673,0.000717
8,Artista_20,0.025786,0.000857
8,Artista_40,0.024240,0.000619
8,Artista_61,0.024551,0.000756
8,Artista_80,0.024597,0.000856
9,Artista_0,0.013620,0.000748
9,Artista_20,0.024805,0.000732
9,Artista_40,0.025258,0.000818
9,Artista_61,0.024648,0.000771
9,Artista_80,0.025106,0.000922
10,Artista_0,0.013798,0.000871
10,Artista_20,0.024940,0.000771
10,Artista_40,0.025445,0.000720
10,Artista_61,0.024716,0.000992
10,Artista_80,0.024600,0.000785
11,Artista_0,0.013874,0.000871
11,Artista_20,0.024965,0.001018
11,Artista_40,0.025004,0.000740
11,Artista_61,0.024922,0.000716
11,Artista_80,0.024913,0.000631
12,Artista_0,0.013416,0.000854
12,Artista_20,0.024726,0.000753
12,Artista_40,0.025072,0.000935
12,Artista_61,0.024846,0.000871
12,Artista_80,0.024477,0.000952
