instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.018715,0.016887,0.002658,0.001712
1,0.002210,0.001128,0.000340,0.000488
2,0.007347,0.000987,0.000274,0.000508
3,0.000984,0.000990,0.000282,0.000369
4,0.000941,0.000985,0.000277,0.000358
5,0.000972,0.001006,0.000267,0.000175
6,0.000926,0.000963,0.000262,0.000149
7,0.000959,0.001001,0.000277,0.000142
8,0.000915,0.000958,0.000272,0.000160
9,0.000975,0.000952,0.000276,0.000145
10,0.000954,0.000985,0.000275,0.000166
11,0.000943,0.000980,0.000333,0.000166
12,0.000956,0.000964,0.000296,0.000147
13,0.000965,0.000979,0.000297,0.000141
14,0.000955,0.000968,0.000310,0.000150
15,0.000985,0.000999,0.000293,0.000175
16,0.000949,0.000974,0.000299,0.000140
17,0.001426,0.001106,0.000414,0.000504
18,0.002131,0.001269,0.000422,0.000483
19,0.002009,0.001261,0.000388,0.000470
20,0.001976,0.001237,0.000226,0.000437
21,0.001953,0.001236,0.000137,0.000458
22,0.001952,0.001251,0.000134,0.000366
23,0.001971,0.001204,0.000168,0.000133
24,0.001836,0.001171,0.000148,0.000135
25,0.000924,0.001167,0.000132,0.000134
26,0.000934,0.001189,0.000137,0.000131
27,0.001028,0.001084,0.000132,0.000165
28,0.000946,0.001039,0.000130,0.000130
29,0.000888,0.001013,0.000156,0.000146
30,0.000949,0.001055,0.000160,0.000141
31,0.000925,0.002982,0.000226,0.000147
32,0.000932,0.002357,0.000244,0.000152
33,0.000973,0.002409,0.000143,0.000148
34,0.000994,0.002372,0.000186,0.000145
35,0.001381,0.002357,0.000168,0.000152
36,0.001087,0.002318,0.000125,0.000142
37,0.000968,0.002288,0.000153,0.000146
38,0.001006,0.002257,0.000138,0.000163
39,0.000960,0.002276,0.000124,0.000133
40,0.000988,0.002335,0.000122,0.000133
41,0.000940,0.002229,0.000138,0.000141
42,0.000973,0.002197,0.000151,0.000180
43,0.000940,0.002261,0.000135,0.000138
44,0.001031,0.002211,0.000780,0.000164
45,0.000963,0.002197,0.000619,0.000154
46,0.000951,0.002284,0.000575,0.000150
47,0.000952,0.002280,0.000596,0.000142
48,0.000978,0.002265,0.000138,0.000158
49,0.000941,0.002306,0.000130,0.000147
50,0.001011,0.002338,0.000123,0.000143
51,0.000966,0.002336,0.000132,0.000142
52,0.001339,0.002182,0.000161,0.000155
53,0.001028,0.002230,0.000124,0.000134
54,0.000887,0.002262,0.000136,0.000140
55,0.000942,0.002182,0.000114,0.000140
56,0.000903,0.002319,0.000116,0.000162
57,0.000927,0.002164,0.000114,0.000140
58,0.000969,0.002254,0.000149,0.000159
59,0.000921,0.002243,0.000135,0.000204
60,0.000980,0.002144,0.000114,0.000100
61,0.000932,0.002301,0.000129,0.000116
62,0.000917,0.002348,0.000169,0.000117
63,0.001007,0.002389,0.000130,0.000164
64,0.000915,0.002256,0.000123,0.000095
65,0.000927,0.002146,0.000116,0.000094
66,0.001390,0.002262,0.000131,0.000136
67,0.000899,0.002115,0.000113,0.000092
68,0.000990,0.002296,0.000120,0.000095
69,0.000936,0.002202,0.000132,0.000099
70,0.001017,0.002307,0.000115,0.000092
71,0.000957,0.002345,0.000170,0.000111
72,0.000939,0.002115,0.000112,0.000089
73,0.000932,0.002379,0.000136,0.000091
74,0.000871,0.002090,0.000112,0.000093
75,0.000930,0.002234,0.000112,0.000090
76,0.000951,0.002088,0.000170,0.000090
77,0.000939,0.002161,0.000113,0.000091
78,0.000904,0.002526,0.000113,0.000123
79,0.000895,0.002112,0.000112,0.000089
80,0.000911,0.002278,0.000113,0.000091
81,0.001004,0.002290,0.000135,0.000089
82,0.000979,0.002338,0.000160,0.000104
83,0.001528,0.002427,0.000208,0.000128
84,0.000975,0.002242,0.000124,0.000106
85,0.000947,0.002260,0.000140,0.000143
86,0.000990,0.002261,0.000118,0.000104
87,0.000907,0.002284,0.000118,0.000095
88,0.000927,0.002380,0.000119,0.000096
89,0.000916,0.002412,0.000121,0.000095
90,0.000965,0.002193,0.000141,0.000102
91,0.000994,0.002268,0.000135,0.000098
92,0.001026,0.002295,0.000122,0.000113
93,0.000967,0.002297,0.000135,0.000122
94,0.000913,0.002282,0.000121,0.000123
95,0.000984,0.002293,0.000181,0.000115
96,0.000931,0.002283,0.000167,0.000118
97,0.000974,0.002248,0.000123,0.000099
98,0.000966,0.002255,0.000126,0.000117
99,0.000985,0.002234,0.000136,0.000101
