instancia,artista,t_lineal,t_binaria
0,Artista_0,0.050722,0.000911
0,Artista_81,0.101811,0.000757
0,Artista_163,0.140675,0.000910
0,Artista_245,0.139848,0.001061
0,Artista_326,0.138848,0.000799
1,Artista_0,0.051088,0.000790
1,Artista_81,0.098799,0.000897
1,Artista_163,0.138094,0.000864
1,Artista_245,0.137691,0.000821
1,Artista_326,0.139742,0.000917
2,Artista_0,0.050553,0.000994
2,Artista_81,0.100367,0.000728
2,Artista_163,0.140501,0.000927
2,Artista_245,0.139184,0.000882
2,Artista_326,0.138303,0.000639
3,Artista_0,0.054615,0.000834
3,Artista_81,0.105676,0.000944
3,Artista_163,0.147934,0.001042
3,Artista_245,0.149371,0.000738
3,Artista_326,0.146526,0.001122
4,Artista_0,0.051636,0.000744
4,Artista_81,0.100335,0.000856
4,Artista_163,0.141862,0.001255
4,Artista_245,0.141762,0.000790
4,Artista_326,0.138698,0.000844
5,Artista_0,0.050486,0.000963
5,Artista_81,0.099373,0.000850
5,Artista_163,0.140627,0.000941
5,Artista_245,0.140815,0.000892
5,Artista_326,0.138048,0.000905
6,Artista_0,0.051151,0.000837
6,Artista_81,0.099406,0.000753
6,Artista_163,0.141794,0.000805
6,Artista_245,0.138723,0.000692
6,Artista_326,0.140287,0.000993
7,Artista_0,0.049947,0.000814
7,Artista_81,0.099767,0.000879
7,Artista_163,0.137646,0.000870
7,Artista_245,0.139247,0.000761
7,Artista_326,0.136678,0.000972
8,Artista_0,0.051217,0.000837
8,Artista_81,0.099176,0.000879
8,Artista_163,0.139158,0.000733
8,Artista_245,0.140605,0.000849
8,Artista_326,0.138556,0.000761
9,Artista_0,0.050111,0.000845
9,Artista_81,0.098865,0.000755
9,Artista_163,0.139088,0.000788
9,Artista_245,0.138105,0.000678
9,Artista_326,0.136865,0.001019
10,Artista_0,0.050657,0.000855
10,Artista_81,0.101060,0.001085
10,Artista_163,0.141017,0.000866
10,Artista_245,0.140601,0.000729
10,Artista_326,0.138464,0.001108
11,Artista_0,0.050208,0.001043
11,Artista_81,0.100413,0.000806
11,Artista_163,0.140930,0.000836
11,Artista_245,0.140522,0.000935
11,Artista_326,0.138800,0.000992
12,Artista_0,0.049895,0.000724
12,Artista_81,0.099059,0.000964
12,Artista_163,0.137253,0.000619
12,Artista_245,0.137528,0.000901
12,Artista_326,0.136683,0.000896
13,Artista_0,0.050188,0.000869
13,Artista_81,0.099693,0.001100
13,Artista_163,0.138254,0.000789
13,Artista_245,0.140411,0.000930
13,Artista_326,0.139683,0.000813
14,Artista_0,0.050101,0.000880
