instancia,artista,t_lineal,t_binaria
0,Artista_0,0.110641,0.001093
0,Artista_163,0.258463,0.000926
0,Artista_327,0.260672,0.000909
0,Artista_491,0.255343,0.000923
0,Artista_654,0.254517,0.001078
1,Artista_0,0.107011,0.000958
1,Artista_163,0.257058,0.000815
1,Artista_327,0.253500,0.000944
1,Artista_491,0.253462,0.000998
1,Artista_654,0.251789,0.001117
2,Artista_0,0.129790,0.001038
2,Artista_163,0.255681,0.001006
2,Artista_327,0.255113,0.000958
2,Artista_491,0.254271,0.000894
2,Artista_654,0.253848,0.000949
3,Artista_0,0.125333,0.000786
3,Artista_163,0.299134,0.001010
3,Artista_327,0.294459,0.000951
3,Artista_491,0.302342,0.000843
3,Artista_654,0.290891,0.001118
4,Artista_0,0.104183,0.001134
4,Artista_163,0.255675,0.000777
4,Artista_327,0.258995,0.000927
4,Artista_491,0.254528,0.000918
4,Artista_654,0.251713,0.000749
5,Artista_0,0.103340,0.000700
5,Artista_163,0.254261,0.001027
5,Artista_327,0.249506,0.000945
5,Artista_491,0.250659,0.000788
5,Artista_654,0.248044,0.001033
6,Artista_0,0.122930,0.000766
6,Artista_163,0.256458,0.001070
6,Artista_327,0.265233,0.000800
6,Artista_491,0.252092,0.000944
6,Artista_654,0.253304,0.000704
7,Artista_0,0.104944,0.000940
7,Artista_163,0.251721,0.000675
7,Artista_327,0.253100,0.000911
7,Artista_491,0.255420,0.000723
7,Artista_654,0.251473,0.000905
8,Artista_0,0.106191,0.000943
8,Artista_163,0.255180,0.000833
8,Artista_327,0.255458,0.000818
8,Artista_491,0.258317,0.000883
8,Artista_654,0.250946,0.000907
9,Artista_0,0.101650,0.000787
9,Artista_163,0.250612,0.001070
9,Artista_327,0.253061,0.001076
9,Artista_491,0.251069,0.001084
9,Artista_654,0.246701,0.000968
10,Artista_0,0.101823,0.000756
10,Artista_163,0.271026,0.000949
10,Artista_327,0.255646,0.000987
10,Artista_491,0.253751,0.000929
10,Artista_654,0.249346,0.000871
11,Artista_0,0.100896,0.000831
11,Artista_163,0.254556,0.001076
11,Artista_327,0.251926,0.001138
11,Artista_491,0.251774,0.000719
11,Artista_654,0.250261,0.000894
12,Artista_0,0.106070,0.000838
12,Artista_163,0.253755,0.000976
12,Artista_327,0.251941,0.000941
12,Artista_491,0.250742,0.000975
12,Artista_654,0.250978,0.000848
13,Artista_0,0.103823,0.000855
13,Artista_163,0.252199,0.001069
13,Artista_327,0.252610,0.001015
13,Artista_491,0.253378,0.000905
13,Artista_654,0.250603,0.000808
14,Artista_0,0.103697,0.001004
14,Artista_163,0.255257,0.000756
14,Artista_327,0.267086,0.000682
14,Artista_491,0.253654,0.001043
14,Artista_654,0.356819,0.000923
15,Artista_0,0.103298,0.000931
15,Artista_163,0.253304,0.001044
15,Artista_327,0.252773,0.000697
15,Artista_491,0.251007,0.000881
15,Artista_654,0.250762,0.000965
16,Artista_0,0.101008,0.000966
16,Artista_163,0.253204,0.000838
16,Artista_327,0.252526,0.000968
16,Artista_491,0.253861,0.001088
16,Artista_654,0.250117,0.000849
17,Artista_0,0.103294,0.000773
17,Artista_163,0.255597,0.000942
17,Artista_327,0.253446,0.000952
17,Artista_491,0.254997,0.000960
17,Artista_654,0.252159,0.000869
18,Artista_0,0.101655,0.000996
18,Artista_163,0.255173,0.000806
18,Artista_327,0.258775,0.000864
18,Artista_491,0.266231,0.000826
18,Artista_654,0.253096,0.001105
19,Artista_0,0.103246,0.000820
19,Artista_163,0.255764,0.000951
19,Artista_327,0.252622,0.000873
19,Artista_491,0.252698,0.000857
19,Artista_654,0.250151,0.000865
20,Artista_0,0.099920,0.000789
20,Artista_163,0.252014,0.000959
20,Artista_327,0.250528,0.000946
20,Artista_491,0.249516,0.001063
20,Artista_654,0.250066,0.000918
21,Artista_0,0.105592,0.000779
21,Artista_163,0.252987,0.001056
21,Artista_327,0.253534,0.000956
21,Artista_491,0.253497,0.000783
21,Artista_654,0.252376,0.000906
22,Artista_0,0.103984,0.000877
22,Artista_163,0.254667,0.000957
22,Artista_327,0.253288,0.001164
22,Artista_491,0.260212,0.001047
22,Artista_654,0.260085,0.000926
23,Artista_0,0.106232,0.000748
23,Artista_163,0.256621,0.000879
23,Artista_327,0.257124,0.001011
23,Artista_491,0.256747,0.000816
23,Artista_654,0.252694,0.000934
24,Artista_0,0.107795,0.001004
24,Artista_163,0.254670,0.000807
24,Artista_327,0.254790,0.000984
24,Artista_491,0.254492,0.000951
24,Artista_654,0.250874,0.000832
25,Artista_0,0.103303,0.000920
25,Artista_163,0.254358,0.000883
25,Artista_327,0.252174,0.000816
25,Artista_491,0.252852,0.000870
25,Artista_654,0.249315,0.001151
26,Artista_0,0.105261,0.000941
26,Artista_163,0.354299,0.000982
26,Artista_327,0.355836,0.001223
26,Artista_491,0.406000,0.001326
26,Artista_654,0.354843,0.000867
27,Artista_0,0.102082,0.001042
27,Artista_163,0.252195,0.000962
27,Artista_327,0.254696,0.000977
27,Artista_491,0.249801,0.000877
27,Artista_654,0.248896,0.000777
28,Artista_0,0.104085,0.000804
28,Artista_163,0.253992,0.000907
28,Artista_327,0.252320,0.000855
28,Artista_491,0.253407,0.001256
28,Artista_654,0.250491,0.000893
29,Artista_0,0.106475,0.000848
29,Artista_163,0.256975,0.000818
29,Artista_327,0.254316,0.000749
29,Artista_491,0.255637,0.001109
29,Artista_654,0.253680,0.000745
30,Artista_0,0.102684,0.001005
30,Artista_163,0.253665,0.001059
30,Artista_327,0.254406,0.000871
30,Artista_491,0.256691,0.001029
30,Artista_654,0.262698,0.000865
31,Artista_0,0.101215,0.000893
31,Artista_163,0.250419,0.000712
31,Artista_327,0.250903,0.000866
31,Artista_491,0.253128,0.001057
31,Artista_654,0.247378,0.001093
32,Artista_0,0.099194,0.001000
32,Artista_163,0.250892,0.001227
32,Artista_327,0.249119,0.000963
32,Artista_491,0.248798,0.000999
32,Artista_654,0.245577,0.000861
33,Artista_0,0.105749,0.000814
33,Artista_163,0.255522,0.000912
33,Artista_327,0.257423,0.000922
33,Artista_491,0.253989,0.001045
33,Artista_654,0.253155,0.000825
34,Artista_0,0.103222,0.000809
34,Artista_163,0.254577,0.000933
34,Artista_327,0.253271,0.001129
34,Artista_491,0.251735,0.000941
34,Artista_654,0.253472,0.000889
