instancia,artista,t_lineal,t_binaria
30,Artista_162,0.058661,0.000968
31,Artista_0,0.026174,0.000763
31,Artista_40,0.068611,0.000803
31,Artista_81,0.068779,0.000737
31,Artista_122,0.058733,0.000835
31,Artista_162,0.057499,0.000926
32,Artista_0,0.026070,0.000758
32,Artista_40,0.068538,0.000802
32,Artista_81,0.068428,0.000877
32,Artista_122,0.060056,0.000909
32,Artista_162,0.057608,0.000804
33,Artista_0,0.025961,0.000834
33,Artista_40,0.067357,0.001032
33,Artista_81,0.068512,0.000781
33,Artista_122,0.059889,0.000859
33,Artista_162,0.056490,0.000957
34,Artista_0,0.026272,0.000769
34,Artista_40,0.069119,0.001008
34,Artista_81,0.069051,0.000656
34,Artista_122,0.060146,0.000950
34,Artista_162,0.058106,0.000974
35,Artista_0,0.026873,0.000852
35,Artista_40,0.067878,0.000906
35,Artista_81,0.068281,0.000787
35,Artista_122,0.059406,0.000996
35,Artista_162,0.057013,0.000832
36,Artista_0,0.026564,0.000670
36,Artista_40,0.067463,0.000752
36,Artista_81,0.067448,0.000831
36,Artista_122,0.060953,0.000731
36,Artista_162,0.059571,0.001185
37,Artista_0,0.026522,0.000870
37,Artista_40,0.068269,0.000742
37,Artista_81,0.068387,0.000800
37,Artista_122,0.060879,0.001020
37,Artista_162,0.056816,0.000805
38,Artista_0,0.027043,0.000839
38,Artista_40,0.067924,0.000895
38,Artista_81,0.067724,0.000788
38,Artista_122,0.059785,0.001002
38,Artista_162,0.056348,0.000836
39,Artista_0,0.026375,0.000786
39,Artista_40,0.066892,0.000616
39,Artista_81,0.067748,0.000788
39,Artista_122,0.059845,0.000746
39,Artista_162,0.057764,0.000845
40,Artista_0,0.026796,0.001024
40,Artista_40,0.076404,0.000751
40,Artista_81,0.075021,0.000832
40,Artista_122,0.065547,0.000880
40,Artista_162,0.063662,0.000871
41,Artista_0,0.026713,0.000771
41,Artista_40,0.068256,0.000634
41,Artista_81,0.069767,0.001162
41,Artista_122,0.059350,0.000769
41,Artista_162,0.056911,0.000936
42,Artista_0,0.026383,0.000795
42,Artista_40,0.068347,0.000833
42,Artista_81,0.068674,0.001132
42,Artista_122,0.061105,0.001018
42,Artista_162,0.058845,0.000864
43,Artista_0,0.026476,0.000798
43,Artista_40,0.067801,0.000860
43,Artista_81,0.068525,0.000973
43,Artista_122,0.060033,0.000839
43,Artista_162,0.056626,0.000740
44,Artista_0,0.026922,0.000887
44,Artista_40,0.071321,0.000841
44,Artista_81,0.071042,0.000903
44,Artista_122,0.060217,0.000831
44,Artista_162,0.058017,0.000849
45,Artista_0,0.025962,0.000909
45,Artista_40,0.067970,0.000825
45,Artista_81,0.067402,0.000886
45,Artista_122,0.060513,0.000940
45,Artista_162,0.058591,0.001111
46,Artista_0,0.026422,0.000838
46,Artista_40,0.068528,0.000808
46,Artista_81,0.067936,0.000632
46,Artista_122,0.060098,0.000754
46,Artista_162,0.059047,0.000941
47,Artista_0,0.026327,0.000853
47,Artista_40,0.068407,0.000836
47,Artista_81,0.067906,0.000954
47,Artista_122,0.061470,0.000850
47,Artista_162,0.059643,0.000884
48,Artista_0,0.026320,0.000915
48,Artista_40,0.068533,0.000702
48,Artista_81,0.067935,0.000729
48,Artista_122,0.060802,0.000816
48,Artista_162,0.058233,0.001131
49,Artista_0,0.026440,0.000764
49,Artista_40,0.068453,0.001038
49,Artista_81,0.068153,0.000907
49,Artista_122,0.060990,0.000899
49,Artista_162,0.057848,0.001118
50,Artista_0,0.026293,0.000881
50,Artista_40,0.069523,0.000847
50,Artista_81,0.068525,0.000847
50,Artista_122,0.059810,0.000945
50,Artista_162,0.056849,0.000924
51,Artista_0,0.026030,0.000832
51,Artista_40,0.069399,0.001025
51,Artista_81,0.067896,0.000749
51,Artista_122,0.061078,0.000970
51,Artista_162,0.059059,0.001010
52,Artista_0,0.025721,0.000670
52,Artista_40,0.067142,0.000736
52,Artista_81,0.068047,0.000924
52,Artista_122,0.059189,0.000944
52,Artista_162,0.058897,0.000853
53,Artista_0,0.026877,0.000720
53,Artista_40,0.068433,0.000714
53,Artista_81,0.069756,0.000965
53,Artista_122,0.060499,0.000723
53,Artista_162,0.057683,0.000826
54,Artista_0,0.026499,0.000797
54,Artista_40,0.068674,0.000775
54,Artista_81,0.069810,0.000972
54,Artista_122,0.061064,0.000849
54,Artista_162,0.057315,0.000775
55,Artista_0,0.027436,0.000759
55,Artista_40,0.067440,0.000792
55,Artista_81,0.069381,0.000934
55,Artista_122,0.059499,0.000915
55,Artista_162,0.065405,0.000635
56,Artista_0,0.026597,0.000850
56,Artista_40,0.068371,0.000969
56,Artista_81,0.069166,0.000902
56,Artista_122,0.060221,0.000794
56,Artista_162,0.057490,0.000832
57,Artista_0,0.027329,0.000813
57,Artista_40,0.068034,0.000711
57,Artista_81,0.068064,0.000891
57,Artista_122,0.060656,0.000914
57,Artista_162,0.057101,0.000974
58,Artista_0,0.026789,0.000795
58,Artista_40,0.068038,0.000916
58,Artista_81,0.068649,0.000893
58,Artista_122,0.061381,0.000846
58,Artista_162,0.058117,0.000872
59,Artista_0,0.026759,0.000763
59,Artista_40,0.067586,0.000699
59,Artista_81,0.068963,0.001067
59,Artista_122,0.061200,0.000875
59,Artista_162,0.057816,0.001038
60,Artista_0,0.026165,0.000873
60,Artista_40,0.067504,0.000674
60,Artista_81,0.067585,0.000818
60,Artista_122,0.059199,0.000877
60,Artista_162,0.058676,0.000916
61,Artista_0,0.027583,0.000850
61,Artista_40,0.068775,0.000830
61,Artista_81,0.068495,0.000952
61,Artista_122,0.060007,0.000844
61,Artista_162,0.057068,0.001111
62,Artista_0,0.026492,0.000842
62,Artista_40,0.069207,0.000873
62,Artista_81,0.068980,0.000751
62,Artista_122,0.059833,0.000972
62,Artista_162,0.057203,0.000962
63,Artista_0,0.026344,0.000769
63,Artista_40,0.069615,0.000792
63,Artista_81,0.068386,0.000768
63,Artista_122,0.061738,0.001126
63,Artista_162,0.058177,0.000959
64,Artista_0,0.026019,0.000825
64,Artista_40,0.067866,0.000867
64,Artista_81,0.068371,0.000706
64,Artista_122,0.058465,0.000751
64,Artista_162,0.058673,0.001155
65,Artista_0,0.026835,0.000667
65,Artista_40,0.068684,0.000699
65,Artista_81,0.069483,0.000877
65,Artista_122,0.059679,0.000869
65,Artista_162,0.057048,0.000926
66,Artista_0,0.026883,0.000802
66,Artista_40,0.068037,0.000928
66,Artista_81,0.069456,0.000922
66,Artista_122,0.060651,0.000862
66,Artista_162,0.057311,0.001067
67,Artista_0,0.026672,0.000649
67,Artista_40,0.068845,0.000728
67,Artista_81,0.068359,0.000838
67,Artista_122,0.060702,0.000826
67,Artista_162,0.058768,0.001074
68,Artista_0,0.025619,0.000733
68,Artista_40,0.068120,0.000848
68,Artista_81,0.067726,0.000694
68,Artista_122,0.061441,0.001040
68,Artista_162,0.058862,0.000867
69,Artista_0,0.026136,0.000880
69,Artista_40,0.068418,0.000716
69,Artista_81,0.067629,0.000904
69,Artista_122,0.059916,0.000888
69,Artista_162,0.057046,0.000737
70,Artista_0,0.026258,0.000867
70,Artista_40,0.068218,0.000926
