instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.022846,0.035876,0.000687,0.000577
1,0.017392,0.035763,0.000563,0.000424
2,0.017011,0.035663,0.000610,0.000571
3,0.016546,0.035754,0.000530,0.000410
4,0.022728,0.037156,0.000650,0.000459
5,0.017565,0.036463,0.000561,0.000412
6,0.017429,0.036362,0.000536,0.000407
7,0.016548,0.035727,0.000526,0.000415
8,0.017401,0.035926,0.000626,0.000503
9,0.015896,0.035283,0.000524,0.000405
10,0.016282,0.036208,0.000524,0.000412
11,0.016646,0.035726,0.000645,0.000437
12,0.016631,0.035426,0.000526,0.000399
13,0.022115,0.035741,0.000561,0.000450
14,0.017024,0.036602,0.000582,0.000578
15,0.016925,0.035921,0.000609,0.000479
16,0.015922,0.035535,0.000522,0.000412
17,0.022645,0.035480,0.000584,0.000505
18,0.016636,0.035871,0.000573,0.000479
19,0.016598,0.035785,0.000525,0.000411
20,0.016855,0.035823,0.000528,0.000405
21,0.021792,0.035416,0.000585,0.000477
22,0.016543,0.035763,0.000529,0.000406
23,0.016120,0.035502,0.000578,0.000406
24,0.016103,0.035725,0.000521,0.000484
25,0.016781,0.035339,0.000579,0.000433
26,0.016075,0.036232,0.000554,0.000416
27,0.016483,0.035052,0.000521,0.000413
28,0.016457,0.035813,0.000546,0.000410
29,0.016573,0.036048,0.000523,0.000410
30,0.020527,0.035961,0.000558,0.000423
31,0.016727,0.035335,0.000521,0.000413
32,0.016809,0.035881,0.000570,0.000438
33,0.017171,0.035614,0.000521,0.000436
34,0.023390,0.035275,0.000592,0.000524
35,0.016146,0.035513,0.000547,0.000412
36,0.016653,0.035544,0.000543,0.000451
37,0.016620,0.036370,0.000660,0.000455
38,0.022945,0.035606,0.000590,0.000480
39,0.016164,0.035335,0.000762,0.000442
40,0.015862,0.035709,0.000528,0.000411
41,0.016592,0.036222,0.000527,0.000409
42,0.022382,0.035387,0.000792,0.000431
43,0.016296,0.035290,0.000541,0.000404
44,0.016653,0.035463,0.000554,0.000406
45,0.016891,0.035528,0.000551,0.000424
46,0.016621,0.036102,0.000535,0.000597
47,0.017316,0.035402,0.000542,0.000417
48,0.017023,0.036528,0.000648,0.000466
49,0.016181,0.035919,0.000532,0.000442
50,0.016315,0.036285,0.000530,0.000451
51,0.024067,0.036102,0.000617,0.000482
52,0.016110,0.035838,0.000532,0.000408
53,0.015950,0.035032,0.000529,0.000411
54,0.015597,0.035390,0.000534,0.000505
55,0.022411,0.036070,0.000582,0.000573
56,0.016531,0.035507,0.000530,0.000405
57,0.015747,0.036244,0.000545,0.000421
58,0.016498,0.038249,0.000689,0.000462
59,0.023435,0.038310,0.000688,0.000539
60,0.016734,0.037947,0.000582,0.000473
61,0.016739,0.038358,0.000598,0.000436
62,0.016984,0.038277,0.000615,0.000480
63,0.017244,0.038220,0.000627,0.000496
64,0.017378,0.037014,0.000581,0.000420
65,0.017276,0.036849,0.000627,0.000459
66,0.016576,0.037012,0.000587,0.000462
67,0.017487,0.037207,0.000684,0.000418
68,0.024577,0.038260,0.000643,0.000488
69,0.017445,0.037594,0.000582,0.000442
70,0.017550,0.036777,0.000542,0.000421
71,0.016394,0.036961,0.000551,0.000425
72,0.023810,0.037092,0.000619,0.000619
73,0.017204,0.036804,0.000559,0.000458
74,0.016485,0.036989,0.000560,0.000500
75,0.016349,0.037475,0.000602,0.000418
76,0.023241,0.037343,0.000649,0.000488
77,0.017401,0.037033,0.000626,0.000462
78,0.017507,0.036868,0.000611,0.000445
79,0.017226,0.036759,0.000698,0.000439
80,0.017349,0.036707,0.000737,0.000447
81,0.017459,0.036284,0.000581,0.000422
82,0.018247,0.037061,0.000585,0.000419
83,0.016884,0.037153,0.000560,0.000556
84,0.017659,0.036737,0.000596,0.000487
85,0.019840,0.036331,0.000645,0.000502
86,0.017338,0.036562,0.000631,0.000470
87,0.017164,0.036525,0.000643,0.000551
88,0.017002,0.036546,0.000613,0.000515
89,0.023678,0.036439,0.000665,0.000548
90,0.017524,0.036456,0.000623,0.000477
91,0.017072,0.035195,0.000529,0.000416
92,0.016727,0.036361,0.000647,0.000452
93,0.022552,0.035431,0.000586,0.000486
94,0.017280,0.036571,0.000548,0.000423
95,0.016342,0.036624,0.000703,0.000452
96,0.016719,0.037028,0.000597,0.000417
97,0.022933,0.036211,0.000667,0.000451
98,0.017589,0.036530,0.000638,0.000429
99,0.016742,0.035546,0.000661,0.000400
