instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.005359,0.009074,0.000286,0.000270
1,0.003923,0.009156,0.000255,0.000202
2,0.003790,0.009026,0.000308,0.000220
3,0.003810,0.009009,0.000268,0.000327
4,0.003800,0.009018,0.000286,0.000207
5,0.003823,0.008942,0.000293,0.000226
6,0.003779,0.008975,0.000305,0.000204
7,0.003870,0.008977,0.000269,0.000199
8,0.003738,0.009069,0.000298,0.000211
9,0.003698,0.008991,0.000263,0.000206
10,0.003768,0.008933,0.000310,0.000209
11,0.004029,0.009221,0.000312,0.000190
12,0.003695,0.009500,0.000259,0.000189
13,0.003856,0.009075,0.000303,0.000265
14,0.003700,0.009146,0.000252,0.000192
15,0.003682,0.009217,0.000258,0.000189
16,0.003798,0.009253,0.000256,0.000192
17,0.005810,0.009337,0.000274,0.000239
18,0.003912,0.009238,0.000250,0.000209
19,0.003832,0.009229,0.000285,0.000211
20,0.004028,0.009081,0.000262,0.000210
21,0.003954,0.008908,0.000292,0.000225
22,0.003960,0.009044,0.000251,0.000207
23,0.003696,0.009026,0.000243,0.000226
24,0.003798,0.009093,0.000263,0.000222
25,0.003746,0.009019,0.000304,0.000229
26,0.003813,0.008861,0.000259,0.000237
27,0.003889,0.008960,0.000279,0.000283
28,0.003640,0.009196,0.000290,0.000228
29,0.003772,0.008916,0.000274,0.000211
30,0.003784,0.008968,0.000283,0.000215
31,0.003815,0.008966,0.000273,0.000206
32,0.003720,0.009180,0.000279,0.000223
33,0.003685,0.009064,0.000276,0.000192
34,0.005465,0.009140,0.000290,0.000290
35,0.003851,0.009050,0.000290,0.000195
36,0.003639,0.009240,0.000335,0.000217
37,0.003510,0.009088,0.000295,0.000208
38,0.003912,0.009269,0.000290,0.000230
39,0.003856,0.009461,0.000248,0.000183
40,0.003801,0.009142,0.000283,0.000203
41,0.003684,0.009373,0.000256,0.000193
42,0.005818,0.009018,0.000307,0.000201
43,0.003910,0.008998,0.000257,0.000188
44,0.003845,0.009119,0.000248,0.000229
45,0.004210,0.009001,0.000337,0.000210
46,0.003998,0.009107,0.000251,0.000193
47,0.003948,0.008922,0.000256,0.000191
48,0.003729,0.009149,0.000246,0.000212
49,0.003898,0.009180,0.000246,0.000223
50,0.003920,0.009017,0.000253,0.000192
51,0.005622,0.009150,0.000277,0.000250
52,0.003571,0.008604,0.000242,0.000185
53,0.003642,0.008726,0.000239,0.000183
54,0.003631,0.008697,0.000239,0.000186
55,0.003917,0.008822,0.000239,0.000184
56,0.003900,0.008680,0.000241,0.000184
57,0.003768,0.008662,0.000240,0.000188
58,0.003794,0.008695,0.000245,0.000181
59,0.005491,0.008727,0.000271,0.000218
60,0.003791,0.009262,0.000280,0.000204
61,0.003664,0.008684,0.000240,0.000191
62,0.003773,0.008731,0.000244,0.000185
63,0.003793,0.008618,0.000236,0.000262
64,0.003843,0.008911,0.000238,0.000183
65,0.003607,0.009028,0.000240,0.000184
66,0.003539,0.008930,0.000274,0.000182
67,0.004848,0.008922,0.000250,0.000195
68,0.003564,0.009314,0.000266,0.000190
69,0.003739,0.009076,0.000267,0.000207
70,0.003736,0.009073,0.000247,0.000191
71,0.003577,0.009258,0.000265,0.000181
72,0.003631,0.008904,0.000270,0.000189
73,0.003581,0.008767,0.000239,0.000184
74,0.003704,0.008774,0.000236,0.000185
75,0.006211,0.009355,0.000281,0.000226
76,0.003553,0.008707,0.000346,0.000207
77,0.003705,0.008901,0.000237,0.000222
78,0.003661,0.008743,0.000236,0.000183
79,0.003798,0.008954,0.000304,0.000182
80,0.003903,0.009113,0.000245,0.000186
81,0.004199,0.009012,0.000243,0.000195
82,0.003670,0.009129,0.000272,0.000182
83,0.003905,0.008878,0.000241,0.000206
84,0.004689,0.008883,0.000254,0.000193
85,0.003613,0.008941,0.000237,0.000183
86,0.003810,0.008870,0.000236,0.000184
87,0.003659,0.008986,0.000237,0.000217
88,0.003574,0.008865,0.000247,0.000186
89,0.003476,0.009037,0.000294,0.000185
90,0.004416,0.009156,0.000247,0.000189
91,0.003552,0.008847,0.000237,0.000220
92,0.005284,0.008743,0.000271,0.000228
93,0.003693,0.009015,0.000239,0.000184
94,0.003498,0.008685,0.000236,0.000188
95,0.003466,0.008695,0.000234,0.000181
96,0.003584,0.009015,0.000236,0.000205
97,0.003773,0.008862,0.000238,0.000185
98,0.003854,0.008694,0.000235,0.000203
99,0.003779,0.009096,0.000244,0.000181
