instancia,artista,t_lineal,t_binaria
0,Artista_0,0.006961,0.000808
0,Artista_10,0.012951,0.000598
0,Artista_20,0.012977,0.000802
0,Artista_30,0.012926,0.000855
0,Artista_39,0.013237,0.000824
1,Artista_0,0.006971,0.001125
1,Artista_10,0.011669,0.001057
1,Artista_20,0.011538,0.000667
1,Artista_30,0.011666,0.000717
1,Artista_39,0.011821,0.000638
2,Artista_0,0.006984,0.000894
2,Artista_10,0.011513,0.000593
2,Artista_20,0.011902,0.000781
2,Artista_30,0.012514,0.000661
2,Artista_39,0.011607,0.000935
3,Artista_0,0.006831,0.000689
3,Artista_10,0.012198,0.000729
3,Artista_20,0.012008,0.000706
3,Artista_30,0.011522,0.000995
3,Artista_39,0.012393,0.001146
4,Artista_0,0.007742,0.000671
4,Artista_10,0.012272,0.000756
4,Artista_20,0.012005,0.000733
4,Artista_30,0.011590,0.000804
4,Artista_39,0.011784,0.001005
5,Artista_0,0.006818,0.000659
5,Artista_10,0.011983,0.000749
5,Artista_20,0.011974,0.001006
5,Artista_30,0.011770,0.000828
5,Artista_39,0.012382,0.000932
6,Artista_0,0.006897,0.000749
6,Artista_10,0.011699,0.000789
6,Artista_20,0.011654,0.000709
6,Artista_30,0.011943,0.000780
6,Artista_39,0.011799,0.000769
7,Artista_0,0.007278,0.000811
7,Artista_10,0.011930,0.000817
7,Artista_20,0.011836,0.000768
7,Artista_30,0.011738,0.000744
7,Artista_39,0.011941,0.000512
8,Artista_0,0.006833,0.000809
8,Artista_10,0.012226,0.000828
8,Artista_20,0.012182,0.000708
8,Artista_30,0.011919,0.000592
8,Artista_39,0.011987,0.000814
9,Artista_0,0.007263,0.000808
9,Artista_10,0.012848,0.000724
9,Artista_20,0.011927,0.000840
9,Artista_30,0.012304,0.000837
9,Artista_39,0.011578,0.000693
10,Artista_0,0.007054,0.000774
10,Artista_10,0.012087,0.000689
10,Artista_20,0.011666,0.000805
10,Artista_30,0.011886,0.000934
10,Artista_39,0.011904,0.000993
11,Artista_0,0.006950,0.000940
11,Artista_10,0.011681,0.000854
11,Artista_20,0.011506,0.000589
11,Artista_30,0.012385,0.000840
11,Artista_39,0.011872,0.000640
12,Artista_0,0.006972,0.000706
12,Artista_10,0.012993,0.000863
12,Artista_20,0.012822,0.000958
12,Artista_30,0.012419,0.001054
12,Artista_39,0.011861,0.000649
13,Artista_0,0.007445,0.000837
13,Artista_10,0.012040,0.000825
13,Artista_20,0.012487,0.000706
13,Artista_30,0.011747,0.000978
13,Artista_39,0.012121,0.001161
14,Artista_0,0.007367,0.000802
14,Artista_10,0.012014,0.000740
14,Artista_20,0.011785,0.000923
14,Artista_30,0.012027,0.001003
14,Artista_39,0.011714,0.000666
15,Artista_0,0.006839,0.000678
15,Artista_10,0.011846,0.000702
15,Artista_20,0.011777,0.000851
15,Artista_30,0.012437,0.000858
15,Artista_39,0.012057,0.000731
16,Artista_0,0.006971,0.000635
16,Artista_10,0.011957,0.000727
16,Artista_20,0.012100,0.000707
16,Artista_30,0.011818,0.000744
16,Artista_39,0.012184,0.000718
17,Artista_0,0.006769,0.000741
17,Artista_10,0.011867,0.000784
17,Artista_20,0.012119,0.000662
17,Artista_30,0.012382,0.000796
17,Artista_39,0.012023,0.000644
