instancia,artista,t_lineal,t_binaria
0,Artista_0,0.030358,0.003338
0,Artista_5,0.004777,0.002017
0,Artista_10,0.004657,0.001889
0,Artista_15,0.004748,0.002020
0,Artista_19,0.004671,0.000762
1,Artista_0,0.004762,0.000931
1,Artista_5,0.004829,0.000847
1,Artista_10,0.004779,0.000740
1,Artista_15,0.004586,0.000795
1,Artista_19,0.004589,0.000794
2,Artista_0,0.004888,0.000779
2,Artista_5,0.004789,0.000783
2,Artista_10,0.004397,0.000766
2,Artista_15,0.004577,0.000973
2,Artista_19,0.004605,0.000833
3,Artista_0,0.004582,0.000756
3,Artista_5,0.004844,0.000751
3,Artista_10,0.004848,0.000686
3,Artista_15,0.004464,0.000866
3,Artista_19,0.004807,0.000790
4,Artista_0,0.005038,0.000791
4,Artista_5,0.004844,0.000807
4,Artista_10,0.004399,0.000603
4,Artista_15,0.004545,0.000852
4,Artista_19,0.004300,0.000862
5,Artista_0,0.004558,0.000693
5,Artista_5,0.004956,0.000849
5,Artista_10,0.004820,0.000757
5,Artista_15,0.005020,0.000954
5,Artista_19,0.004492,0.000777
6,Artista_0,0.004837,0.000864
6,Artista_5,0.004478,0.000626
6,Artista_10,0.004781,0.000766
6,Artista_15,0.004742,0.000817
6,Artista_19,0.004669,0.000915
7,Artista_0,0.004788,0.000748
7,Artista_5,0.004930,0.000815
7,Artista_10,0.004389,0.000640
7,Artista_15,0.004527,0.000821
7,Artista_19,0.004506,0.000815
8,Artista_0,0.004781,0.000646
8,Artista_5,0.004676,0.000835
8,Artista_10,0.004477,0.000619
8,Artista_15,0.004668,0.000772
8,Artista_19,0.004440,0.000634
9,Artista_0,0.004637,0.000709
9,Artista_5,0.004609,0.000766
9,Artista_10,0.004525,0.000689
9,Artista_15,0.004581,0.000774
9,Artista_19,0.004753,0.000754
10,Artista_0,0.004746,0.000853
10,Artista_5,0.004803,0.000753
10,Artista_10,0.004680,0.000770
10,Artista_15,0.004695,0.000728
10,Artista_19,0.004501,0.000663
11,Artista_0,0.004703,0.000761
11,Artista_5,0.004716,0.000579
11,Artista_10,0.004828,0.000772
11,Artista_15,0.004789,0.000794
11,Artista_19,0.004730,0.000707
12,Artista_0,0.004626,0.000792
12,Artista_5,0.004841,0.000617
12,Artista_10,0.004443,0.000678
12,Artista_15,0.004776,0.000786
12,Artista_19,0.004533,0.000735
13,Artista_0,0.004472,0.000680
13,Artista_5,0.004664,0.000691
13,Artista_10,0.004634,0.000703
13,Artista_15,0.004630,0.000941
13,Artista_19,0.004446,0.000717
14,Artista_0,0.004964,0.000855
14,Artista_5,0.004717,0.000696
14,Artista_10,0.004440,0.000610
14,Artista_15,0.004179,0.000690
14,Artista_19,0.004236,0.000645
15,Artista_0,0.004628,0.000732
15,Artista_5,0.004873,0.000889
15,Artista_10,0.004656,0.000742
15,Artista_15,0.004540,0.000935
15,Artista_19,0.004531,0.000775
16,Artista_0,0.004757,0.000876
16,Artista_5,0.004858,0.000880
16,Artista_10,0.004433,0.000624
16,Artista_15,0.004424,0.000616
16,Artista_19,0.004460,0.000687
17,Artista_0,0.004678,0.000819
17,Artista_5,0.004806,0.000891
17,Artista_10,0.004261,0.000484
17,Artista_15,0.004741,0.000901
17,Artista_19,0.004438,0.000760
18,Artista_0,0.004280,0.000564
18,Artista_5,0.004430,0.000724
18,Artista_10,0.004897,0.000877
18,Artista_15,0.004903,0.000995
18,Artista_19,0.004610,0.000920
19,Artista_0,0.004657,0.000712
19,Artista_5,0.004840,0.000865
19,Artista_10,0.004501,0.000654
19,Artista_15,0.004760,0.000845
19,Artista_19,0.004790,0.000760
20,Artista_0,0.004454,0.000707
20,Artista_5,0.004811,0.000847
20,Artista_10,0.004770,0.000881
20,Artista_15,0.004612,0.000801
20,Artista_19,0.005069,0.000914
21,Artista_0,0.004650,0.000844
21,Artista_5,0.004682,0.000775
21,Artista_10,0.004349,0.000558
21,Artista_15,0.004483,0.000788
21,Artista_19,0.004546,0.000759
22,Artista_0,0.004504,0.000692
22,Artista_5,0.004547,0.000697
22,Artista_10,0.004592,0.000788
22,Artista_15,0.004500,0.000640
22,Artista_19,0.004611,0.000893
23,Artista_0,0.004697,0.000878
23,Artista_5,0.004372,0.000659
23,Artista_10,0.004537,0.000787
23,Artista_15,0.004805,0.000889
23,Artista_19,0.004559,0.000725
24,Artista_0,0.004653,0.000659
24,Artista_5,0.004517,0.000769
24,Artista_10,0.004573,0.000700
24,Artista_15,0.004425,0.000546
24,Artista_19,0.004595,0.000895
25,Artista_0,0.004734,0.000705
25,Artista_5,0.004565,0.000698
25,Artista_10,0.004416,0.000699
25,Artista_15,0.004414,0.000688
25,Artista_19,0.004525,0.000853
26,Artista_0,0.004796,0.000827
26,Artista_5,0.004634,0.000728
26,Artista_10,0.004763,0.000967
26,Artista_15,0.004671,0.000785
26,Artista_19,0.005004,0.001080
27,Artista_0,0.004612,0.000636
27,Artista_5,0.004737,0.000856
27,Artista_10,0.004777,0.000932
27,Artista_15,0.004412,0.000618
